firstname,lastname,title,grad_school,grad_year,department,school_of_employment,school_of_employment_code,grad_school_code
 Michael,Saks,Ph.D.,Social Psychology,1975,College of Law,Arizona State University,23,
 Erin,Scharff,J.D.,New York University School of Law,2011,College of Law,Arizona State University,23,72
 Mary,Sigler,Ph.D,Political Philos,,College of Law,Arizona State University,23,
 Ann,Stanton,Ph.D.,Stanford University,,College of Law,Arizona State University,23,232
 Judy,Stinson,J.D.,University of Arizona,,College of Law,Arizona State University,23,
 Douglas,Sylvester,J.D.,University of Buffalo School of Law,1994,College of Law,Arizona State University,23,
 Tory,Trotta,J.D.,University of Southern California Law Center,,College of Law,Arizona State University,23,4
 Rebecca,Tsosie,J.D.,"University of California, Los Angeles, School of Law",1990,College of Law,Arizona State University,23,
 James,Weinstein,J.D.,University of Pennsylvania,1978,College of Law,Arizona State University,23,
 Laurence,Winer,Ph.D.,Boston University,1973,College of Law,Arizona State University,23,327
 Laura,Napoli Coordes,J.D.,University of Chicago Law School,2010,College of Law,Arizona State University,23,122
 Andrew (Sandy),Askland,Ph.D.,"Philosophy, University of Colorado",1995,College of Law,Arizona State University,23,
 Jennifer,Barnes,J.D.,Arizona State University,,College of Law,Arizona State University,23,23
 Michelle,Gross,J.D.,"Sandra Day O'Connor College of Law, Arizona State University",,College of Law,Arizona State University,23,23
 Anne,Herbert,J.D.,University of Virginia School of Law,1989,College of Law,Arizona State University,23,
 Diane,Humetewa,J.D.,Sandra Day O'Connor College of Law,1993,College of Law,Arizona State University,23,
 Kris,Mayes,J.D.,Sandra Day O'Connor College of Law,,College of Law,Arizona State University,23,
 Monique,Wilhite,J.D.,"Sandra Day O'Connor College of Law, Arizona State University",1991,College of Law,Arizona State University,23,23
 Roselle,Wissler,Ph.D.,Boston College,1986,College of Law,Arizona State University,23,328
 Robert,Bartels,J.D.,Stanford University,1969,College of Law,Arizona State University,23,232
 Michael,Berch,J.D.,Columbia Law School,1959,College of Law,Arizona State University,23,
 Guy,Cardineau,Ph.D.,"Molecular and Cellular Biology, University of Alabama",,College of Law,Arizona State University,23,
 Dale,Furnish,J.D.,University of Iowa,,College of Law,Arizona State University,23,
 Sanford,Guerin,J.D.,University of San Francisco School of Law,,College of Law,Arizona State University,23,
 David,Kaye,J.D.,Yale University,1972,College of Law,Arizona State University,23,21
 Gary,Lowenthal,J.D.,University of Chicago,1969,College of Law,Arizona State University,23,122
 Alan,Matheson,J.D.,University of Utah,1959,College of Law,Arizona State University,23,
 Milt,Schroeder,J.D.,The University of Chicago Law School,1965,College of Law,Arizona State University,23,122
 Bonnie,Tucker,J.D.,University of Colorado,,College of Law,Arizona State University,23,
 Michael,White,Ph.D.,Philosophy,,College of Law,Arizona State University,23,
 Kevin,Ahern,J.D.,Sandra Day O'Connor College of Law,1977,College of Law,Arizona State University,23,
 Donald,Anderson,J.D.,University of Arizona,,College of Law,Arizona State University,23,
 Charles,Ayers,J.D.,University of Iowa,,College of Law,Arizona State University,23,
 Scott,Bales,J.D.,Harvard University,1983,College of Law,Arizona State University,23,22
 Leila,Barraza,J.D.,"Sandra Day O'Connor College of Law, ASU",,College of Law,Arizona State University,23,
 Keith,Beauchamp,J.D.,George Washington University,,College of Law,Arizona State University,23,
 John,Becker,J.D.,Arizona State University College of Law,,College of Law,Arizona State University,23,23
 Gary,Birnbaum,J.D.,Indiana University,1976,College of Law,Arizona State University,23,
 David,Bodney,J.D.,University of Virginia,,College of Law,Arizona State University,23,
 Edward,Burke,J.D.,Syracuse University,,College of Law,Arizona State University,23,85
 Paul E.,Burns,J.D.,Boston College,1984,College of Law,Arizona State University,23,328
 Howard,Cabot,J.D.,Rutgers University,,College of Law,Arizona State University,23,233
 Scot,Claus,J.D.,Sandra Day O'Connor College of Law,1993,College of Law,Arizona State University,23,
 John,Clemency,J.D.,New England School of Law,1984,College of Law,Arizona State University,23,
 Larry,Cohen,J.D.,Northwestern University,1985,College of Law,Arizona State University,23,235
 Sarah,Curley,J.D.,New York Law School,,College of Law,Arizona State University,23,
 Victoria Gruver,Curtin,J.D.,Stanford Law School,,College of Law,Arizona State University,23,
 Shelley,Detwiller Digiacomo,J.D.,Cornell Law School,1999,College of Law,Arizona State University,23,
 Chelsea,Durkin,J.D.,"Arizona State University, Sandra Day O'Connor College of Law",2008,College of Law,Arizona State University,23,23
 Judith M.,Dworkin,Ph.D.,Clark University,1978,College of Law,Arizona State University,23,360
 John,Everroad,J.D.,Vanderbilt University,1969,College of Law,Arizona State University,23,56
 Tamra,Facciola,J.D.,Arizona State University,,College of Law,Arizona State University,23,23
 Kelly,Flood,J.D.,Sandra Day O'Connor College of Law,1999,College of Law,Arizona State University,23,
 Paul,Giancola,J.D.,Syracuse University College of Law,1980,College of Law,Arizona State University,23,85
 Scott,Gibson,J.D.,Arizona State University College of Law,,College of Law,Arizona State University,23,23
 Nicole,Goodwin,J.D.,Seton Hall University School of Law,,College of Law,Arizona State University,23,
 Jeffrey,Goulder,J.D.,Loyola University,,College of Law,Arizona State University,23,123
 Jeffrey,Gross,J.D.,University of Arizona,1987,College of Law,Arizona State University,23,
 Randolph,Haines,Ph.D.,Yale University,,College of Law,Arizona State University,23,21
 Andrew,Halaby,J.D.,University of Kansas School of Law,,College of Law,Arizona State University,23,
 Robert,Henry,J.D.,University of Michigan Law School,,College of Law,Arizona State University,23,
 Charles,Herf,J.D.,University of Wisconsin Law School,1968,College of Law,Arizona State University,23,
 Philip,Higdon,J.D.,"University of Texas, Austin",1972,College of Law,Arizona State University,23,49
 Michael,Holden,J.D.,Duke Law School,,College of Law,Arizona State University,23,
 Bradley,Holm,J.D.,Brigham Young University Law School,,College of Law,Arizona State University,23,275
 Charles,James,JD,George Washington University Law School,,College of Law,Arizona State University,23,
 Jon,Kappes,J.D.,Arizona State University,,College of Law,Arizona State University,23,23
 Donn,Kessler,J.D.,Yale Law School,1975,College of Law,Arizona State University,23,
 C. Mark,Kittredge,J.D.,The George Washington University Law School,1991,College of Law,Arizona State University,23,
 Anatole,Krattiger,Ph.D.,University of Cambridge,,College of Law,Arizona State University,23,
 Jordan,Kroop,J.D.,University of Virginia School of Law,1994,College of Law,Arizona State University,23,
 Lynne,Lagarde,J.D.,Arizona State University,1984,College of Law,Arizona State University,23,23
 Lynne,Lagarde,J.D.,Arizona State University,1984,College of Law,Arizona State University,23,23
 Nicole,Lehtman,J.D.,American University Washington College of Law,2000,College of Law,Arizona State University,23,
 Steven,Lisa,J.D.,Arizona State University,,College of Law,Arizona State University,23,23
 Frank,Long,J.D.,Northwestern University School of Law,1986,College of Law,Arizona State University,23,235
 Dan,Lowrance,J.D.,Arizona State University College of Law,1985,College of Law,Arizona State University,23,23
 Connie,Mableson,J.D.,Gonzaga University School of Law,,College of Law,Arizona State University,23,
 Bruce,Meyerson,J.D.,Georgetown University Law Center,,College of Law,Arizona State University,23,309
 Roger,Morris,J.D.,University of Pittsburgh,,College of Law,Arizona State University,23,143
 Mark,Nadeau,J.D.,University of Pittsburgh School of Law,1981,College of Law,Arizona State University,23,143
 David,Paige,J.D.,"James E. Rogers College of Law, University of Arizona",,College of Law,Arizona State University,23,
 Deana,Peck,J.D.,University of Kansas School of Law,1975,College of Law,Arizona State University,23,
 Marlene,Pontrelli,J.D.,"University of California, Davis",1982,College of Law,Arizona State University,23,
 David,Rosenbaum,J.D.,Georgetown University,1983,College of Law,Arizona State University,23,309
 Jeff,Roth,J.D.,Arizona State University College of Law,1996,College of Law,Arizona State University,23,23
 Mollie,Roth,J.D.,Vermont Law School,1996,College of Law,Arizona State University,23,
 Mike,Rubin,J.D.,University of Arizona,,College of Law,Arizona State University,23,
 Thomas,Salerno,J.D.,University of Notre Dame,1982,College of Law,Arizona State University,23,116
 Jon,Sands,J.D.,"University of California, Davis, School of Law",,College of Law,Arizona State University,23,
 William,Sandweg,J.D.,"Sandra Day O'Connor College of Law, Arizona State University",1974,College of Law,Arizona State University,23,23
 Michael,Scheurich,J.D.,University of Arizona,1979,College of Law,Arizona State University,23,
 Robert,Schulman,J.D.,from Rutgers University,,College of Law,Arizona State University,23,233
 Lynda,Shely,J.D.,The Catholic University,,College of Law,Arizona State University,23,
 John,Shufeldt,J.D.,Arizona State University Sandra Day O'Connor College of Law,2005,College of Law,Arizona State University,23,23
 K. Thomas,Slack,J.D.,"Hastings College of Law, University of California",1990,College of Law,Arizona State University,23,
 Robert,Spurlock,J.D.,Arizona State University,,College of Law,Arizona State University,23,23
 Geoffrey,Sturr,J.D.,"University of California, Los Angeles",1990,College of Law,Arizona State University,23,
 Debora,Verdier,J.D.,Sandra Day O'Connor College of Law,1997,College of Law,Arizona State University,23,
 Lawrence,Wilk,J.D.,Indiana University School of Law,,College of Law,Arizona State University,23,
 Daryl,Williams,J.D.,"J. Reuben Clark Law School, Brigham Young University",,College of Law,Arizona State University,23,275
 Jay,Zweig,J.D.,The University of Texas,1986,College of Law,Arizona State University,23,
